line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
10,"The plot, though not elaborate, is almost
regular enough for Fielding; hardly a character, hardly an incident
could be retrenched without loss to the story.","the plot, though not elaborate, is almost regular enough for fielding; hardly a character, hardly an incident could be retrenched without loss to the story.",158,156,,
11,"The elopement of Lydia
and Wickham is not, like that of Crawford and Mrs. Rushworth, a coup de
théâtre; it connects itself in the strictest way with the course of the
story earlier, and brings about the denouement with complete propriety.","the elopement of lydia and wickham is not, like that of crawford and mrs. rushworth, a coup de theatre; it connects itself in the strictest way with the course of the story earlier, and brings about the denouement with complete propriety.",243,240,,
12,"All the minor passages--the loves of Jane and Bingley, the advent of Mr.
Collins, the visit to Hunsford, the Derbyshire tour--fit in after the
same unostentatious, but masterly fashion.","all the minor passages--the loves of jane and bingley, the advent of mr. collins, the visit to hunsford, the derbyshire tour--fit in after the same unostentatious, but masterly fashion.",187,185,,
13,"There is no attempt at the
hide-and-seek, in-and-out business, which in the transactions between
Frank Churchill and Jane Fairfax contributes no doubt a good deal to the
intrigue of Emma, but contributes it in a fashion which I do not think
the best feature of that otherwise admirable book.","there is no attempt at the hide-and-seek, in-and-out business, which in the transactions between frank churchill and jane fairfax contributes no doubt a good deal to the intrigue of emma, but contributes it in a fashion which i do not think the best feature of that otherwise admirable book.",297,293,,
14,"Although Miss Austen
always liked something of the misunderstanding kind, which afforded her
opportunities for the display of the peculiar and incomparable talent to
be noticed presently, she has been satisfied here with the perfectly
natural occasions provided by the false account of Darcy’s conduct given
by Wickham, and by the awkwardness (arising with equal naturalness) from
the gradual transformation of Elizabeth’s own feelings from positive
aversion to actual love.","although miss austen always liked something of the misunderstanding kind, which afforded her opportunities for the display of the peculiar and incomparable talent to be noticed presently, she has been satisfied here with the perfectly natural occasions provided by the false account of darcy's conduct given by wickham, and by the awkwardness (arising with equal naturalness) from the gradual transformation of elizabeth's own feelings from positive aversion to actual love.",481,474,,
15,"I do not know whether the all-grasping hand of
the playwright has ever been laid upon Pride and Prejudice; and I dare
say that, if it were, the situations would prove not startling or
garish enough for the footlights, the character-scheme too subtle and
delicate for pit and gallery.","i do not know whether the all-grasping hand of the playwright has ever been laid upon pride and prejudice; and i dare say that, if it were, the situations would prove not startling or garish enough for the footlights, the character-scheme too subtle and delicate for pit and gallery.",289,285,,
16,"But if the attempt were made, it would
certainly not be hampered by any of those loosenesses of construction,
which, sometimes disguised by the conveniences of which the novelist can
avail himself, appear at once on the stage._

_I think, however, though the thought will doubtless seem heretical to
more than one school of critics, that construction is not the highest
merit, the choicest gift, of the novelist.","but if the attempt were made, it would certainly not be hampered by any of those loosenesses of construction, which, sometimes disguised by the conveniences of which the novelist can avail himself, appear at once on the stage. i think, however, though the thought will doubtless seem heretical to more than one school of critics, that construction is not the highest merit, the choicest gift, of the novelist.",419,411,,
17,"It sets off his other gifts
and graces most advantageously to the critical eye; and the want of it
will sometimes mar those graces--appreciably, though not quite
consciously--to eyes by no means ultra-critical.","it sets off his other gifts and graces most advantageously to the critical eye; and the want of it will sometimes mar those graces--appreciably, though not quite consciously--to eyes by no means ultra-critical.",213,210,,
18,"But a very badly-built
novel which excelled in pathetic or humorous character, or which
displayed consummate command of dialogue--perhaps the rarest of all
faculties--would be an infinitely better thing than a faultless plot
acted and told by puppets with pebbles in their mouths.","but a very badly-built novel which excelled in pathetic or humorous character, or which displayed consummate command of dialogue--perhaps the rarest of all faculties--would be an infinitely better thing than a faultless plot acted and told by puppets with pebbles in their mouths.",284,280,,
19,"And despite the
ability which Miss Austen has shown in working out the story, I for one
should put Pride and Prejudice far lower if it did not contain what
seem to me the very masterpieces of Miss Austen’s humour and of her
faculty of character-creation--masterpieces who may indeed admit John
Thorpe, the Eltons, Mrs. Norris, and one or two others to their company,
but who, in one instance certainly, and perhaps in others, are still
superior to them._

_The characteristics of Miss Austen’s humour are so subtle and delicate
that they are, perhaps, at all times easier to apprehend than to
express, and at any particular time likely to be differently
apprehended by different persons.","and despite the ability which miss austen has shown in working out the story, i for one should put pride and prejudice far lower if it did not contain what seem to me the very masterpieces of miss austen's humour and of her faculty of character-creation--masterpieces who may indeed admit john thorpe, the eltons, mrs. norris, and one or two others to their company, but who, in one instance certainly, and perhaps in others, are still superior to them. the characteristics of miss austen's humour are so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons.",701,688,,
20,"To me this humour seems to possess a
greater affinity, on the whole, to that of Addison than to any other of
the numerous species of this great British genus.","to me this humour seems to possess a greater affinity, on the whole, to that of addison than to any other of the numerous species of this great british genus.",160,158,,
21,"The differences of
scheme, of time, of subject, of literary convention, are, of course,
obvious enough; the difference of sex does not, perhaps, count for much,
for there was a distinctly feminine element in “Mr.","the differences of scheme, of time, of subject, of literary convention, are, of course, obvious enough; the difference of sex does not, perhaps, count for much, for there was a distinctly feminine element in ""mr.",215,212,,
22,"Spectator,” and in
Jane Austen’s genius there was, though nothing mannish, much that was
masculine.","spectator,"" and in jane austen's genius there was, though nothing mannish, much that was masculine.",101,99,,
23,"But the likeness of quality consists in a great number of
common subdivisions of quality--demureness, extreme minuteness of touch,
avoidance of loud tones and glaring effects.","but the likeness of quality consists in a great number of common subdivisions of quality--demureness, extreme minuteness of touch, avoidance of loud tones and glaring effects.",177,175,,
24,"Also there is in both a
certain not inhuman or unamiable cruelty.",also there is in both a certain not inhuman or unamiable cruelty.,66,65,,
25,"It is the custom with those
who judge grossly to contrast the good nature of Addison with the
savagery of Swift, the mildness of Miss Austen with the boisterousness
of Fielding and Smollett, even with the ferocious practical jokes that
her immediate predecessor, Miss Burney, allowed without very much
protest.","it is the custom with those who judge grossly to contrast the good nature of addison with the savagery of swift, the mildness of miss austen with the boisterousness of fielding and smollett, even with the ferocious practical jokes that her immediate predecessor, miss burney, allowed without very much protest.",315,310,,
26,"Yet, both in Mr. Addison and in Miss Austen there is, though a
restrained and well-mannered, an insatiable and ruthless delight in
roasting and cutting up a fool.","yet, both in mr. addison and in miss austen there is, though a restrained and well-mannered, an insatiable and ruthless delight in roasting and cutting up a fool.",164,162,,
27,"A man in the early eighteenth century,
of course, could push this taste further than a lady in the early
nineteenth; and no doubt Miss Austen’s principles, as well as her heart,
would have shrunk from such things as the letter from the unfortunate
husband in the Spectator, who describes, with all the gusto and all the
innocence in the world, how his wife and his friend induce him to play
at blind-man’s-buff.","a man in the early eighteenth century, of course, could push this taste further than a lady in the early nineteenth; and no doubt miss austen's principles, as well as her heart, would have shrunk from such things as the letter from the unfortunate husband in the spectator, who describes, with all the gusto and all the innocence in the world, how his wife and his friend induce him to play at blind-man's-buff.",419,413,,
28,"But another Spectator letter--that of the damsel
of fourteen who wishes to marry Mr. Shapely, and assures her selected
Mentor that “he admires your Spectators mightily”--might have been
written by a rather more ladylike and intelligent Lydia Bennet in the
days of Lydia’s great-grandmother; while, on the other hand, some (I
think unreasonably) have found “cynicism” in touches of Miss Austen’s
own, such as her satire of Mrs. Musgrove’s self-deceiving regrets over
her son.","but another spectator letter--that of the damsel of fourteen who wishes to marry mr. shapely, and assures her selected mentor that ""he admires your spectators mightily""--might have been written by a rather more ladylike and intelligent lydia bennet in the days of lydia's great-grandmother; while, on the other hand, some (i think unreasonably) have found ""cynicism"" in touches of miss austen's own, such as her satire of mrs. musgrove's self-deceiving regrets over her son.",485,478,,
29,"But this word “cynical” is one of the most misused in the
English language, especially when, by a glaring and gratuitous
falsification of its original sense, it is applied, not to rough and
snarling invective, but to gentle and oblique satire.","but this word ""cynical"" is one of the most misused in the english language, especially when, by a glaring and gratuitous falsification of its original sense, it is applied, not to rough and snarling invective, but to gentle and oblique satire.",246,243,,
30,"If cynicism means
the perception of “the other side,” the sense of “the accepted hells
beneath,” the consciousness that motives are nearly always mixed, and
that to seem is not identical with to be--if this be cynicism, then
every man and woman who is not a fool, who does not care to live in a
fool’s paradise, who has knowledge of nature and the world and life, is
a cynic.","if cynicism means the perception of ""the other side,"" the sense of ""the accepted hells beneath,"" the consciousness that motives are nearly always mixed, and that to seem is not identical with to be--if this be cynicism, then every man and woman who is not a fool, who does not care to live in a fool's paradise, who has knowledge of nature and the world and life, is a cynic.",381,375,,
31,And in that sense Miss Austen certainly was one.,and in that sense miss austen certainly was one.,48,48,,
32,"She may even
have been one in the further sense that, like her own Mr. Bennet, she
took an epicurean delight in dissecting, in displaying, in setting at
work her fools and her mean persons.","she may even have been one in the further sense that, like her own mr. bennet, she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons.",192,189,,
33,"I think she did take this delight,
and I do not think at all the worse of her for it as a woman, while she
was immensely the better for it as an artist._

_In respect of her art generally, Mr. Goldwin Smith has truly observed
that “metaphor has been exhausted in depicting the perfection of it,
combined with the narrowness of her field;” and he has justly added that
we need not go beyond her own comparison to the art of a miniature
painter.","i think she did take this delight, and i do not think at all the worse of her for it as a woman, while she was immensely the better for it as an artist. in respect of her art generally, mr. goldwin smith has truly observed that ""metaphor has been exhausted in depicting the perfection of it, combined with the narrowness of her field;"" and he has justly added that we need not go beyond her own comparison to the art of a miniature painter.",451,442,,
34,"To make this latter observation quite exact we must not use the
term miniature in its restricted sense, and must think rather of Memling
at one end of the history of painting and Meissonier at the other, than
of Cosway or any of his kind.","to make this latter observation quite exact we must not use the term miniature in its restricted sense, and must think rather of memling at one end of the history of painting and meissonier at the other, than of cosway or any of his kind.",241,238,,
35,"And I am not so certain that I should
myself use the word “narrow” in connection with her.","and i am not so certain that i should myself use the word ""narrow"" in connection with her.",91,90,,
36,"If her world is a
microcosm, the cosmic quality of it is at least as eminent as the
littleness.","if her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness.",97,95,,
37,"She does not touch what she did not feel herself called to
paint; I am not so sure that she could not have painted what she did not
feel herself called to touch.",she does not touch what she did not feel herself called to paint, i am not so sure that she could not have painted what she did not feel herself called to touch.,163,161,
38,"It is at least remarkable that in two very
short periods of writing--one of about three years, and another of not
much more than five--she executed six capital works, and has not left a
single failure.","it is at least remarkable that in two very short periods of writing--one of about three years, and another of not much more than five--she executed six capital works, and has not left a single failure.",204,201,,
39,"It is possible that the romantic paste in her
composition was defective: we must always remember that hardly
anybody born in her decade--that of the eighteenth-century
seventies--independently exhibited the full romantic quality.",it is possible that the romantic paste in her composition was defective: we must always remember that hardly anybody born in her decade--that of the eighteenth-century seventies--independently exhibited the full romantic quality.,232,229,,
40,"Even Scott
required hill and mountain and ballad, even Coleridge metaphysics and
German to enable them to chip the classical shell.","even scott required hill and mountain and ballad, even coleridge metaphysics and german to enable them to chip the classical she will.",133,134,,
41,"Miss Austen was an
English girl, brought up in a country retirement, at the time when
ladies went back into the house if there was a white frost which might
pierce their kid shoes, when a sudden cold was the subject of the
gravest fears, when their studies, their ways, their conduct were
subject to all those fantastic limits and restrictions against which
Mary Wollstonecraft protested with better general sense than particular
taste or judgment.","miss austen was an english girl, brought up in a country retirement, at the time when ladies went back into the house if there was a white frost which might pierce their kid shoes, when a sudden cold was the subject of the gravest fears, when their studies, their ways, their conduct were subject to all those fantastic limits and restrictions against which mary wollstonecraft protested with better general sense than particular taste or judgment.",455,448,,
42,"Miss Austen, too, drew back when the white frost
touched her shoes; but I think she would have made a pretty good journey
even in a black one._

_For if her knowledge was not very extended, she knew two things which
only genius knows.","miss austen, too, drew back when the white frost touched her shoes; but i think she would have made a pretty good journey even in a black one. for if her knowledge was not very extended, she knew two things which only genius knows.",239,233,,
43,"The one was humanity, and the other was art.","the one was humanity, and the other was art.",44,44,,
44,"On the
first head she could not make a mistake; her men, though limited, are
true, and her women are, in the old sense, “absolute.” As to art, if she
has never tried idealism, her realism is real to a degree which makes
the false realism of our own day look merely dead-alive.","on the first head she could not make a mistake; her men, though limited, are true, and her women are, in the old sense, ""absolute."" as to art, if she has never tried idealism, her realism is real to a degree which makes the false realism of our own day look merely dead-alive.",280,276,,
45,"Take almost any
Frenchman, except the late M. de Maupassant, and watch him laboriously
piling up strokes in the hope of giving a complete impression.","take almost any frenchman, except the late m. de maupassant, and watch him laboriously piling up strokes in the hope of giving a complete impression.",151,149,,
46,"You get
none; you are lucky if, discarding two-thirds of what he gives, you can
shape a real impression out of the rest.","you get none; you are lucky if, discarding two-thirds of what he gives, you can shape a real impression out of the rest.",122,120,,
47,"But with Miss Austen the
myriad, trivial, unforced strokes build up the picture like magic.","but with miss austen the myriad, trivial, unforced strokes build up the picture like magic.",92,91,,
48,Nothing is false, nothing is superfluous.,nothing is false, nothing is superfluous.,41,41
49,"When (to take the present book
only) Mr. Collins changed his mind from Jane to Elizabeth “while Mrs.
Bennet was stirring the fire” (and we know how Mrs.","when (to take the present book only) mr. collins changed his mind from jane to elizabeth ""while mrs. bennet was stirring the fire"" (and we know how mrs.",156,154,,
50,"Bennet would have
stirred the fire), when Mr. Darcy “brought his coffee-cup back_
himself,” the touch in each case is like that of Swift--“taller by the
breadth of my nail”--which impressed the half-reluctant Thackeray with
just and outspoken admiration.","bennet would have stirred the fire), when mr. darcy ""brought his coffee-cup back himself,"" the touch in each case is like that of swift--""taller by the breadth of my nail""--which impressed the half-reluctant thackeray with just and outspoken admiration.",259,255,,
51,"Indeed, fantastic as it may seem, I
should put Miss Austen as near to Swift in some ways, as I have put her
to Addison in others._

_This Swiftian quality appears in the present novel as it appears
nowhere else in the character of the immortal, the ineffable Mr.
Collins.","indeed, fantastic as it may seem, i should put miss austen as near to swift in some ways, as i have put her to addison in others. this swiftian quality appears in the present novel as it appears nowhere else in the character of the immortal, the ineffable mr. collins.",277,270,,
52,"Mr. Collins is really great; far greater than anything Addison
ever did, almost great enough for Fielding or for Swift himself.","mr. collins is really great; far greater than anything addison ever did, almost great enough for fielding or for swift himself.",130,129,,
53,"It has
been said that no one ever was like him.",it has been said that no one ever was like him.,48,47,,
54,"But in the first place, he
_was like him; he is there--alive, imperishable, more real than hundreds
of prime ministers and archbishops, of “metals, semi-metals, and
distinguished philosophers.” In the second place, it is rash, I think,
to conclude that an actual Mr. Collins was impossible or non-existent at
the end of the eighteenth century.","but in the first place, he was like him; he is there--alive, imperishable, more real than hundreds of prime ministers and archbishops, of ""metals, semi-metals, and distinguished philosophers."" in the second place, it is rash, i think, to conclude that an actual mr. collins was impossible or non-existent at the end of the eighteenth century.",349,344,,
55,"It is very interesting that we
possess, in this same gallery, what may be called a spoiled first
draught, or an unsuccessful study of him, in John Dashwood.","it is very interesting that we possess, in this same gallery, what may be called a spoiled first draught, or an unsuccessful study of him, in john dashwood.",158,156,,
56,"The
formality, the under-breeding, the meanness, are there; but the portrait
is only half alive, and is felt to be even a little unnatural.","the formality, the under-breeding, the meanness, are there; but the portrait is only half alive, and is felt to be even a little unnatural.",141,139,,
57,"Mr.
Collins is perfectly natural, and perfectly alive.","mr. collins is perfectly natural, and perfectly alive.",55,54,,
58,"In fact, for all the
“miniature,” there is something gigantic in the way in which a certain
side, and more than one, of humanity, and especially eighteenth-century
humanity, its Philistinism, its well-meaning but hide-bound morality,
its formal pettiness, its grovelling respect for rank, its materialism,
its selfishness, receives exhibition.","in fact, for all the ""miniature,"" there is something gigantic in the way in which a certain side, and more than one, of humanity, and especially eighteenth-century humanity, its philistinism, its well-meaning but hide-bound morality, its formal pettiness, its grovelling respect for rank, its materialism, its selfishness, receives exhibition.",348,343,,
59,"I will not admit that one speech
or one action of this inestimable man is incapable of being reconciled
with reality, and I should not wonder if many of these words and actions
are historically true._

_But the greatness of Mr. Collins could not have been so satisfactorily
exhibited if his creatress had not adjusted so artfully to him the
figures of Mr. Bennet and of Lady Catherine de Bourgh.","i will not admit that one speech or one action of this inestimable man is incapable of being reconciled with reality, and i should not wonder if many of these words and actions are historically true. but the greatness of mr. collins could not have been so satisfactorily exhibited if his creatress had not adjusted so artfully to him the figures of mr. bennet and of lady catherine de bourgh.",402,394,,
60,"The latter, like
Mr. Collins himself, has been charged with exaggeration.","the latter, like mr. collins himself, has been charged with exaggeration.",74,73,,
61,"There is,
perhaps, a very faint shade of colour for the charge; but it seems to me
very faint indeed.","there is, perhaps, a very faint shade of colour for the charge; but it seems to me very faint indeed.",103,101,,
62,"Even now I do not think that it would be impossible
to find persons, especially female persons, not necessarily of noble
birth, as overbearing, as self-centred, as neglectful of good manners,
as Lady Catherine.","even now i do not think that it would be impossible to find persons, especially female persons, not necessarily of noble birth, as overbearing, as self-centred, as neglectful of good manners, as lady catherine.",213,210,,
63,"A hundred years ago, an earl’s daughter, the Lady
Powerful (if not exactly Bountiful) of an out-of-the-way country parish,
rich, long out of marital authority, and so forth, had opportunities of
developing these agreeable characteristics which seldom present
themselves now.","a hundred years ago, an earl's daughter, the lady powerful (if not exactly bountiful) of an out-of-the-way country parish, rich, long out of marital authority, and so forth, had opportunities of developing these agreeable characteristics which seldom present themselves now.",278,274,,
64,"As for Mr. Bennet, Miss Austen, and Mr. Darcy, and even
Miss Elizabeth herself, were, I am inclined to think, rather hard on him
for the “impropriety” of his conduct.","as for mr. bennet, miss austen, and mr. darcy, and even miss elizabeth herself, were, i am inclined to think, rather hard on him for the ""impropriety"" of his conduct.",168,166,,
65,"His wife was evidently, and must
always have been, a quite irreclaimable fool; and unless he had shot her
or himself there was no way out of it for a man of sense and spirit but
the ironic.","his wife was evidently, and must always have been, a quite irreclaimable fool; and unless he had shot her or himself there was no way out of it for a man of sense and spirit but the ironic.",192,189,,
66,"From no other point of view is he open to any reproach,
except for an excusable and not unnatural helplessness at the crisis of
the elopement, and his utterances are the most acutely delightful in the
consciously humorous kind--in the kind that we laugh with, not at--that
even Miss Austen has put into the mouth of any of her characters.","from no other point of view is he open to any reproach, except for an excusable and not unnatural helplessness at the crisis of the elopement, and his utterances are the most acutely delightful in the consciously humorous kind--in the kind that we laugh with, not at--that even miss austen has put into the mouth of any of her characters.",342,338,,
67,"It is
difficult to know whether he is most agreeable when talking to his wife,
or when putting Mr. Collins through his paces; but the general sense of
the world has probably been right in preferring to the first rank his
consolation to the former when she maunders over the entail, “My dear,
do not give way to such gloomy thoughts.","it is difficult to know whether he is most agreeable when talking to his wife, or when putting mr. collins through his paces; but the general sense of the world has probably been right in preferring to the first rank his consolation to the former when she maunders over the entail, ""my dear, do not give way to such gloomy thoughts.",337,332,,
68,Let us hope for better things.,let us hope for better things.,30,30,,
69,"Let us flatter ourselves that I may be the survivor;” and his inquiry
to his colossal cousin as to the compliments which Mr. Collins has just
related as made by himself to Lady Catherine, “May I ask whether these
pleasing attentions proceed from the impulse of the moment, or are the
result of previous study?” These are the things which give Miss Austen’s
readers the pleasant shocks, the delightful thrills, which are felt by
the readers of Swift, of Fielding, and we may here add, of Thackeray, as
they are felt by the readers of no other English author of fiction
outside of these four._

_The goodness of the minor characters in Pride and Prejudice has been
already alluded to, and it makes a detailed dwelling on their beauties
difficult in any space, and impossible in this.","let us flatter ourselves that i may be the survivor;"" and his inquiry to his colossal cousin as to the compliments which mr. collins has just related as made by himself to lady catherine, ""may i ask whether these pleasing attentions proceed from the impulse of the moment, or are the result of previous study?"" these are the things which give miss austen's readers the pleasant shocks, the delightful thrills, which are felt by the readers of swift, of fielding, and we may here add, of thackeray, as they are felt by the readers of no other english author of fiction outside of these four. the goodness of the minor characters in pride and prejudice has been already alluded to, and it makes a detailed dwelling on their beauties difficult in any space, and impossible in this.",797,784,,
70,"Mrs. Bennet we have
glanced at, and it is not easy to say whether she is more exquisitely
amusing or more horribly true.","mrs. bennet we have glanced at, and it is not easy to say whether she is more exquisitely amusing or more horribly true.",122,120,,
71,"Much the same may be said of Kitty and
Lydia; but it is not every author, even of genius, who would have
differentiated with such unerring skill the effects of folly and
vulgarity of intellect and disposition working upon the common
weaknesses of woman at such different ages.","much the same may be said of kitty and lydia; but it is not every author, even of genius, who would have differentiated with such unerring skill the effects of folly and vulgarity of intellect and disposition working upon the common weaknesses of woman at such different ages.",280,276,,
72,"With Mary, Miss Austen has
taken rather less pains, though she has been even more unkind to her;
not merely in the text, but, as we learn from those interesting
traditional appendices which Mr. Austen Leigh has given us, in dooming
her privately to marry “one of Mr. Philips’s clerks.” The habits of
first copying and then retailing moral sentiments, of playing and
singing too long in public, are, no doubt, grievous and criminal; but
perhaps poor Mary was rather the scapegoat of the sins of blue stockings
in that Fordyce-belectured generation.","with mary, miss austen has taken rather less pains, though she has been even more unkind to her; not merely in the text, but, as we learn from those interesting traditional appendices which mr. austen leigh has given us, in dooming her privately to marry ""one of mr. philips's clerks."" the habits of first copying and then retailing moral sentiments, of playing and singing too long in public, are, no doubt, grievous and criminal; but perhaps poor mary was rather the scapegoat of the sins of blue stockings in that fordyce-belectured generation.",555,547,,
73,"It is at any rate difficult not
to extend to her a share of the respect and affection (affection and
respect of a peculiar kind; doubtless), with which one regards Mr.
Collins, when she draws the moral of Lydia’s fall.","it is at any rate difficult not to extend to her a share of the respect and affection (affection and respect of a peculiar kind; doubtless), with which one regards mr. collins, when she draws the moral of lydia's fall.",221,218,,
74,"I sometimes wish
that the exigencies of the story had permitted Miss Austen to unite
these personages, and thus at once achieve a notable mating and soothe
poor Mrs. Bennet’s anguish over the entail._

_The Bingleys and the Gardiners and the Lucases, Miss Darcy and Miss de
Bourgh, Jane, Wickham, and the rest, must pass without special comment,
further than the remark that Charlotte Lucas (her egregious papa, though
delightful, is just a little on the thither side of the line between
comedy and farce) is a wonderfully clever study in drab of one kind, and
that Wickham (though something of Miss Austen’s hesitation of touch in
dealing with young men appears) is a not much less notable sketch in
drab of another.","i sometimes wish that the exigencies of the story had permitted miss austen to unite these personages, and thus at once achieve a notable mating and soothe poor mrs. bennet's anguish over the entail. the bingleys and the gardiners and the lucases, miss darcy and miss de bourgh, jane, wickham, and the rest, must pass without special comment, further than the remark that charlotte lucas (her egregious papa, though delightful, is just a little on the thither side of the line between comedy and farce) is a wonderfully clever study in drab of one kind, and that wickham (though something of miss austen's hesitation of touch in dealing with young men appears) is a not much less notable sketch in drab of another.",729,716,,
75,"Only genius could have made Charlotte what she is, yet
not disagreeable; Wickham what he is, without investing him either with
a cheap Don Juanish attractiveness or a disgusting rascality.","only genius could have made charlotte what she is, yet not disagreeable; wickham what he is, without investing him either with a cheap don juanish attractiveness or a disgusting rascality.",190,188,,
76,"But the
hero and the heroine are not tints to be dismissed._

_Darcy has always seemed to me by far the best and most interesting of
Miss Austen’s heroes; the only possible competitor being Henry Tilney,
whose part is so slight and simple that it hardly enters into
comparison.","but the hero and the heroine are not tints to be dismissed. darcy has always seemed to me by far the best and most interesting of miss austen's heroes; the only possible competitor being henry tilney, whose part is so slight and simple that it hardly enters into comparison.",283,276,,
77,"It has sometimes, I believe, been urged that his pride is
unnatural at first in its expression and later in its yielding, while
his falling in love at all is not extremely probable.","it has sometimes, i believe, been urged that his pride is unnatural at first in its expression and later in its yielding, while his falling in love at all is not extremely probable.",183,181,,
78,"Here again I
cannot go with the objectors.",here again i cannot go with the objectors.,43,42,,
79,"Darcy’s own account of the way in which
his pride had been pampered, is perfectly rational and sufficient; and
nothing could be, psychologically speaking, a causa verior for its
sudden restoration to healthy conditions than the shock of Elizabeth’s
scornful refusal acting on a nature ex hypothesi generous.","darcy's own account of the way in which his pride had been pampered, is perfectly rational and sufficient; and nothing could be, psychologically speaking, a causa verior for its sudden restoration to healthy conditions than the shock of elizabeth's scornful refusal acting on a nature ex hypothesi generous.",315,311,,
80,"Nothing in
even our author is finer and more delicately touched than the change of
his demeanour at the sudden meeting in the grounds of Pemberley.",nothing in even our author is finer and more delicately touched than the change of his demeanour at the sudden meeting in the grounds of pemberley.,149,147,,
